Time(Iteration)	Random,LinUCB,Arm-Con,ConUCB,HUCB
0	[[68.25823405]],[[79.03054206]],[[79.03054206]],[[79.03054206]],[[94.43983943]]
10	[[804.47007357]],[[637.16897156]],[[411.51129818]],[[628.80823078]],[[1094.21777339]]
20	[[1539.87187715]],[[811.78135813]],[[503.34151693]],[[1035.76411315]],[[1932.1865404]]
30	[[2315.66750172]],[[894.39040782]],[[559.83333123]],[[1376.85460751]],[[2800.02960274]]
40	[[3059.9418204]],[[983.95823829]],[[637.09435581]],[[1635.33026705]],[[3582.55281008]]
50	[[3791.55367628]],[[1054.44646887]],[[694.71421875]],[[1713.23691758]],[[4370.91185969]]
60	[[4506.93058473]],[[1116.09475786]],[[750.86726687]],[[1733.46622137]],[[5175.49130924]]
70	[[5223.39867081]],[[1173.57877491]],[[800.18604068]],[[1744.31535674]],[[5998.49258582]]
80	[[5974.32216202]],[[1231.47450734]],[[851.16368094]],[[1754.57902461]],[[6788.03311179]]
90	[[6709.66232849]],[[1290.86592514]],[[918.34267036]],[[1762.95125321]],[[7539.24312085]]
100	[[7461.07508189]],[[1348.25310569]],[[965.9592385]],[[1765.79529188]],[[8315.53716066]]
110	[[8183.54769843]],[[1405.36425385]],[[1013.33931152]],[[1771.39267362]],[[9092.52489378]]
120	[[8912.73253557]],[[1462.64661713]],[[1060.20213975]],[[1772.72745602]],[[9869.22740199]]
130	[[9679.49723715]],[[1519.26950762]],[[1107.54944767]],[[1778.41221336]],[[10654.14799505]]
140	[[10439.87899217]],[[1576.5347262]],[[1155.77572016]],[[1792.62330207]],[[11419.77147316]]
150	[[11197.86847591]],[[1633.80230122]],[[1204.33645901]],[[1793.66238918]],[[12200.66669187]]
160	[[11991.10723029]],[[1690.19185177]],[[1252.46060949]],[[1796.46179446]],[[12966.75057724]]
170	[[12744.6270758]],[[1747.20217155]],[[1299.99387922]],[[1797.47009043]],[[13761.41627249]]
180	[[13477.50783308]],[[1822.37269776]],[[1347.48687804]],[[1798.96403668]],[[14568.15748195]]
190	[[14269.29634544]],[[1888.74555484]],[[1394.40911552]],[[1799.94108926]],[[15342.00741241]]
200	[[15001.87027848]],[[1945.94843724]],[[1442.06313913]],[[1803.21531209]],[[16141.10253588]]
210	[[15769.28960674]],[[1998.93609825]],[[1489.35103781]],[[1804.16868553]],[[16971.67246473]]
220	[[16532.907049]],[[2073.58660941]],[[1536.24140476]],[[1805.74846793]],[[17762.21052225]]
230	[[17274.06352354]],[[2126.03479698]],[[1583.55150453]],[[1809.89221607]],[[18563.39525557]]
240	[[17983.23059622]],[[2178.48298456]],[[1630.35492351]],[[1810.39181883]],[[19333.58497937]]
250	[[18699.11040027]],[[2230.93117214]],[[1677.15834249]],[[1811.06771397]],[[20084.36625026]]
260	[[19441.4828384]],[[2283.49817821]],[[1724.02117071]],[[1811.71681376]],[[20890.08825054]]
270	[[20213.41119152]],[[2336.12459354]],[[1771.35469383]],[[1812.36167864]],[[21653.11167708]]
280	[[20963.06799124]],[[2388.63219037]],[[1818.21752205]],[[1812.96433807]],[[22447.60242903]]
290	[[21729.37460168]],[[2444.29681405]],[[1865.42814218]],[[1813.64247269]],[[23240.26987558]]
300	[[22471.08008186]],[[2497.03710139]],[[1912.35037966]],[[1814.59767821]],[[24008.5750893]]
310	[[23232.92654796]],[[2549.92966072]],[[1960.19027706]],[[1816.13064455]],[[24768.41554428]]
320	[[23992.92579717]],[[2602.37784829]],[[2006.99369604]],[[1816.49627053]],[[25567.95231869]]
330	[[24748.54106349]],[[2654.82603587]],[[2053.79711502]],[[1816.86189652]],[[26357.00297067]]
340	[[25486.93145016]],[[2707.27422344]],[[2100.60053399]],[[1817.2275225]],[[27132.21870228]]
350	[[26241.63765984]],[[2759.72241102]],[[2147.64158997]],[[1818.35804522]],[[27897.39089123]]
360	[[26991.81480411]],[[2812.46764485]],[[2194.80146446]],[[1821.70040917]],[[28695.57247461]]
370	[[27747.99007574]],[[2864.91583243]],[[2241.60488343]],[[1822.20001193]],[[29496.16438956]]
380	[[28499.03935477]],[[2917.42342925]],[[2288.40830241]],[[1822.69961469]],[[30290.87766749]]
390	[[29260.68620486]],[[2970.08146779]],[[2335.35807862]],[[1823.34246716]],[[31092.69730288]]
400	[[30014.07864799]],[[3022.52965537]],[[2382.16149759]],[[1824.03399945]],[[31861.46608137]]
410	[[30736.01788915]],[[3075.33429845]],[[2428.96491657]],[[1824.42642079]],[[32633.71702657]]
420	[[31485.25682687]],[[3127.90130453]],[[2475.76833555]],[[1825.03867178]],[[33400.11103056]]
430	[[32245.63536251]],[[3180.3494921]],[[2522.57175453]],[[1825.45788847]],[[34197.23605686]]
440	[[32994.89693527]],[[3232.79767968]],[[2569.3751735]],[[1825.82351446]],[[34980.49768743]]
450	[[33736.31133792]],[[3285.24586725]],[[2616.17859248]],[[1826.18914044]],[[35798.33044954]]
460	[[34499.72420826]],[[3337.69405483]],[[2662.98201146]],[[1826.55476642]],[[36590.43117131]]
470	[[35236.29462977]],[[3390.14224241]],[[2709.78543044]],[[1826.92039241]],[[37385.7546749]]
480	[[35972.63530929]],[[3444.18034977]],[[2756.76274536]],[[1827.48910613]],[[38168.48752312]]
490	[[36710.35436148]],[[3497.73383295]],[[2803.74439209]],[[1828.25081579]],[[38959.17473159]]
500	[[37432.71874574]],[[3550.18202052]],[[2850.54781107]],[[1828.96666484]],[[39769.72924839]]
510	[[38184.4842027]],[[3602.6302081]],[[2897.61640577]],[[1829.35908618]],[[40565.15134]]
520	[[38940.77824368]],[[3655.6260626]],[[2944.67226829]],[[1831.21010927]],[[41330.59340912]]
530	[[39700.23281451]],[[3708.25247793]],[[2991.47568727]],[[1831.57573525]],[[42153.37588282]]
540	[[40434.74656505]],[[3760.7006655]],[[3038.27910625]],[[1831.94136124]],[[42942.58903959]]
550	[[41186.65989185]],[[3813.14885308]],[[3085.08252523]],[[1832.30698722]],[[43728.80139332]]
560	[[41947.5854634]],[[3865.59704065]],[[3131.8859442]],[[1832.6726132]],[[44565.12459742]]
570	[[42697.35956932]],[[3918.04522823]],[[3179.1090651]],[[1833.21453157]],[[45375.03276286]]
580	[[43448.74213955]],[[3970.66852734]],[[3225.91248408]],[[1833.81985926]],[[46162.44197858]]
590	[[44197.36430411]],[[4023.71080743]],[[3272.80285103]],[[1834.4957544]],[[46969.11536229]]
600	[[44948.66841998]],[[4076.45604126]],[[3319.60627001]],[[1834.99535716]],[[47743.23204974]]
610	[[45726.64303844]],[[4129.58930261]],[[3366.40968898]],[[1835.45476689]],[[48544.62100039]]
620	[[46462.87368611]],[[4182.03749019]],[[3413.21310796]],[[1835.95436965]],[[49318.74273304]]
630	[[47212.250613]],[[4234.48567777]],[[3460.01652694]],[[1836.45397241]],[[50101.38443326]]
640	[[47944.44194661]],[[4286.93386534]],[[3506.81994592]],[[1836.95357518]],[[50921.53680452]]
650	[[48680.00713328]],[[4339.38205292]],[[3553.62336489]],[[1837.39958723]],[[51686.97622206]]
660	[[49430.28618622]],[[4391.8302405]],[[3600.73736762]],[[1837.77861089]],[[52447.53206156]]
670	[[50165.50217773]],[[4453.76812958]],[[3648.13100836]],[[1838.19782758]],[[53202.4165248]]
680	[[50922.88547688]],[[4506.21631716]],[[3694.93442734]],[[1838.56345357]],[[53992.78091754]]
690	[[51667.94045282]],[[4559.0355194]],[[3743.32776611]],[[1838.92907955]],[[54787.01044262]]
700	[[52387.83319136]],[[4614.08080966]],[[3794.2993158]],[[1839.29470553]],[[55573.20255513]]
710	[[53144.09828255]],[[4666.52899724]],[[3841.10273478]],[[1839.66033152]],[[56351.63801224]]
720	[[53879.89291069]],[[4719.03659406]],[[3887.90615376]],[[1840.0259575]],[[57146.11889147]]
730	[[54621.73935723]],[[4771.48478164]],[[3934.76898199]],[[1840.67462851]],[[57948.00353393]]
740	[[55369.51492672]],[[4825.089558]],[[3982.0119337]],[[1841.40929482]],[[58743.92180775]]
750	[[56100.65186505]],[[4877.88019985]],[[4028.87476193]],[[1841.85530688]],[[59485.6551751]]
760	[[56860.89582569]],[[4930.32838743]],[[4075.97522716]],[[1842.26112589]],[[60267.81492801]]
770	[[57592.55861266]],[[4982.77657501]],[[4122.77864614]],[[1842.62675188]],[[61065.51949722]]
780	[[58357.9579905]],[[5035.22476258]],[[4169.58206512]],[[1842.99237786]],[[61871.35145747]]
790	[[59071.14408979]],[[5087.67295016]],[[4216.38548409]],[[1843.35800384]],[[62644.03885613]]
800	[[59806.61054713]],[[5140.12113773]],[[4263.18890307]],[[1843.72362982]],[[63460.36046495]]
810	[[60552.61784189]],[[5193.27449484]],[[4310.22562725]],[[1848.22048499]],[[64249.44825464]]
820	[[61273.92785547]],[[5245.72268241]],[[4357.02904623]],[[1848.58611097]],[[65038.18271183]]
830	[[62054.26218421]],[[5298.17086999]],[[4403.8324652]],[[1848.95173696]],[[65818.91595365]]
840	[[62799.11532379]],[[5350.61905756]],[[4450.63588418]],[[1849.31736294]],[[66592.39790742]]
850	[[63534.15813399]],[[5403.06724514]],[[4497.43930316]],[[1849.68298892]],[[67406.12437617]]
860	[[64284.19038741]],[[5455.51543272]],[[4544.24272214]],[[1850.04861491]],[[68207.53419223]]
870	[[65048.44872242]],[[5508.92861517]],[[4591.04614111]],[[1850.41424089]],[[68947.18184105]]
880	[[65796.20061195]],[[5561.37680275]],[[4637.84956009]],[[1850.77986687]],[[69762.52789176]]
890	[[66554.20998888]],[[5613.82499033]],[[4684.65297907]],[[1851.14549286]],[[70548.36627205]]
900	[[67286.88810223]],[[5666.33258715]],[[4731.45639805]],[[1851.68741122]],[[71365.37746945]]
910	[[67984.56393304]],[[5718.78077473]],[[4778.25981702]],[[1852.0530372]],[[72206.77306968]]
920	[[68709.67260094]],[[5771.22896231]],[[4825.063236]],[[1852.41866319]],[[73027.10775336]]
930	[[69464.30091881]],[[5823.67714988]],[[4872.01301221]],[[1852.84369842]],[[73783.30105089]]
940	[[70188.74883767]],[[5876.12533746]],[[4918.81643118]],[[1853.2093244]],[[74566.72203069]]
950	[[70906.35710973]],[[5928.57352503]],[[4965.61985016]],[[1853.57495039]],[[75335.72215782]]
960	[[71644.08187275]],[[5981.02171261]],[[5012.42326914]],[[1853.9807694]],[[76114.55808499]]
970	[[72410.012837]],[[6033.46990019]],[[5059.22668812]],[[1854.48037217]],[[76895.02478478]]
980	[[73149.52754373]],[[6085.91808776]],[[5106.03010709]],[[1854.97997493]],[[77662.02697519]]
990	[[73885.82747199]],[[6138.36627534]],[[5152.83352607]],[[1855.47957769]],[[78438.24430616]]
