Time,LinUCB,Arm-Con,ConUCB,HUCB
0,1520.125964,1520.125964,1520.125964,1567.017057
10,11283.41888,8161.472275,12443.63149,12485.11865
20,16308.00484,10838.83955,21733.15173,19336.95021
30,19013.67864,12516.73823,29284.23196,23005.65991
40,20759.38298,13983.52943,34376.76028,24901.74634
50,22188.0419,15371.12027,36229.66184,26119.80566
60,23547.99992,16620.32673,41244.49517,26975.12721
70,24821.07444,17805.10922,41512.96044,27650.19585
80,26063.0858,18999.75241,41635.32626,28445.03377
90,27272.9836,20153.83273,41693.84484,28860.70269
100,28456.95509,21329.88459,41752.65291,29254.36316
110,29606.06822,22408.35783,41808.81794,29630.55349
120,30749.34792,23483.55349,41859.46386,30011.86026
130,31897.1757,24549.38728,41905.1361,30313.87625
140,33018.99145,25619.17494,41936.85956,30572.99183
150,34136.63468,26672.1962,45301.29333,30787.92303
160,35218.46218,27741.58413,45629.45482,31041.34155
170,36294.24434,28790.76481,45655.50752,31194.5894
180,37358.28741,29845.00878,45671.86052,31338.32102
190,38418.64733,30888.65003,45684.14997,31497.42325
200,39538.29467,31932.05509,45695.78525,31632.15372
210,40626.98877,32986.20254,45704.40267,31781.64322
220,41687.89042,34028.27553,45711.28396,31930.5144
230,42736.07031,35045.61415,45718.5519,32023.30435
240,43771.81984,36063.63939,45731.38603,32125.6592
250,44805.94071,37094.77148,45743.27637,32239.50878
260,45837.86884,38117.31725,45749.68685,32285.56108
270,46874.11895,39149.41563,45757.12454,32411.87144
280,47945.54782,40174.76688,45765.50978,32501.365
290,48965.66296,41183.28023,45777.01952,32598.19617
