Time(Iteration),	Random,LinUCB,Arm-Con,ConUCB,HUCB
0	, 8.52771904 , 8.00522157 , 8.00522157 , 8.00522157 , 3.42675473 
10	, 96.47670645 , 54.54198423 , 32.86150333 , 55.34250973 , 72.52760671 
20	, 181.89898115 , 71.6187608 , 49.51857797 , 107.90744023 , 103.04608331 
30	, 267.54292561 , 88.69553736 , 66.38550358 , 143.09439989 , 129.90047325 
40	, 338.21152915 , 105.77231392 , 83.25242918 , 159.70457273 , 130.32628595 
50	, 421.9661036 , 122.84909048 , 99.90950382 , 168.05915896 , 130.5391923 
60	, 494.28916918 , 139.71601608 , 116.56657846 , 212.31554862 , 130.75209865 
70	, 575.10857353 , 156.58294168 , 133.22365311 , 213.06704768 , 131.17791134 
80	, 661.11352841 , 173.24001633 , 149.88072775 , 214.82545746 , 131.17791134 
90	, 747.52807242 , 190.10694193 , 166.53780239 , 214.82545746 , 131.39081769 
100	, 822.02209219 , 206.76401657 , 183.19487704 , 214.82545746 , 131.60372404 
110	, 900.29482701 , 223.42109122 , 200.06180264 , 214.82545746 , 131.81663039 
120	, 983.0588653 , 240.28801682 , 216.71887728 , 214.82545746 , 132.02953674 
130	, 1058.5176196 , 256.94509146 , 233.37595192 , 214.82545746 , 132.24244309 
140	, 1139.30182833 , 273.81201706 , 250.45272849 , 214.82545746 , 139.14000113 
150	, 1218.42078627 , 290.46909171 , 267.10980313 , 225.82975494 , 139.14000113 
160	, 1302.44892219 , 307.12616635 , 283.76687777 , 225.82975494 , 139.35290748 
170	, 1394.33970831 , 323.78324099 , 300.84365433 , 225.82975494 , 139.35290748 
180	, 1484.93876999 , 340.44031563 , 317.50072898 , 225.82975494 , 139.56581383 
190	, 1555.63719767 , 357.30724124 , 334.15780362 , 225.82975494 , 139.56581383 
200	, 1629.01252718 , 373.96431588 , 350.81487826 , 225.82975494 , 147.18143234 
210	, 1720.16070095 , 390.62139052 , 367.4719529 , 225.82975494 , 147.18143234 
220	, 1811.63186877 , 407.27846517 , 384.12902755 , 225.82975494 , 147.18143234 
230	, 1903.92208081 , 423.93553981 , 400.78610219 , 225.82975494 , 147.18143234 
240	, 1985.15414803 , 440.80246541 , 417.65302779 , 225.82975494 , 147.18143234 
250	, 2068.89266884 , 457.45954005 , 434.31010244 , 225.82975494 , 147.18143234 
260	, 2157.0524274 , 474.1166147 , 450.96717708 , 225.82975494 , 147.18143234 
270	, 2237.78013871 , 490.77368934 , 467.62425172 , 225.82975494 , 147.18143234 
280	, 2323.58668237 , 507.64061494 , 484.28132636 , 225.82975494 , 147.18143234 
290	, 2404.32221175 , 524.29768958 , 500.93840101 , 225.82975494 , 147.18143234 
