Time(Iteration)	Random,LinUCB,Arm-Con,ConUCB,HUCB
0	 7.96378096 , 10.60434974 , 10.60434974 , 10.60434974 , 11.92923031 
10	 77.89562126 , 80.8612324 , 44.74792306 , 63.9493143 , 79.96423019 
20	 155.30545728 , 109.54667224 , 44.74792306 , 111.31873598 , 131.34306849 
30	 232.92886434 , 110.14157374 , 44.74792306 , 145.53243906 , 147.66303822 
40	 311.86293463 , 110.14157374 , 45.34282457 , 168.79978477 , 148.25793973 
50	 389.30365134 , 110.14157374 , 45.34282457 , 174.87253416 , 158.45117004 
60	 463.43635655 , 110.14157374 , 45.34282457 , 204.78198272 , 158.45117004 
70	 550.99894642 , 110.73647524 , 45.34282457 , 212.85524792 , 158.45117004 
80	 616.29137737 , 110.73647524 , 45.34282457 , 212.85524792 , 166.94076805 
90	 684.84554643 , 110.73647524 , 45.34282457 , 212.85524792 , 166.94076805 
100	 758.4542129 , 110.73647524 , 45.34282457 , 212.85524792 , 166.94076805 
110	 842.5138037 , 110.73647524 , 45.34282457 , 212.85524792 , 166.94076805 
120	 906.12879291 , 110.73647524 , 45.34282457 , 218.58512308 , 171.92868512 
130	 984.72180138 , 110.73647524 , 45.34282457 , 218.58512308 , 171.92868512 
140	 1055.91335465 , 110.73647524 , 45.34282457 , 218.58512308 , 171.92868512 
150	 1127.1844613 , 110.73647524 , 45.34282457 , 235.7193678 , 176.49692 
160	 1197.86954869 , 110.73647524 , 45.34282457 , 235.7193678 , 176.49692 
170	 1271.1902833 , 110.73647524 , 45.34282457 , 235.7193678 , 176.49692 
180	 1350.67605062 , 110.73647524 , 45.34282457 , 235.7193678 , 176.49692 
190	 1427.92640802 , 110.73647524 , 45.34282457 , 235.7193678 , 182.12057593 
200	 1506.2205247 , 110.73647524 , 45.34282457 , 235.7193678 , 182.12057593 
210	 1566.7493918 , 110.73647524 , 45.34282457 , 235.7193678 , 182.12057593 
220	 1643.46340823 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
230	 1718.99006873 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
240	 1793.91813377 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
250	 1865.11989476 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
260	 1936.87458799 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
270	 2011.55516618 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
280	 2070.8329764 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
290	 2149.48991556 , 110.73647524 , 45.34282457 , 236.49259716 , 182.12057593 
