第2页,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1. 请填写您对麻辣烫以及各家麻辣烫餐厅的喜爱程度,,,,,,,,,,,,,,
问题,5 非常喜欢,4 喜欢,3 一般,2 不太喜欢,1 不喜欢,没吃过,,,,,,,,
二餐麻辣烫,7,11,20,3,3,11,181,3.290909091,3.612244898,,,,,
五餐麻辣烫,6,9,10,3,4,23,175,3.181818182,3.6,,,,,
玉兰苑麻辣烫,10,19,15,1,3,7,197,3.581818182,3.581818182,,,,,
张亮麻辣烫,7,13,10,2,2,17,174,3.411764706,3.5,,,,,
拌将·干拌麻辣烫,9,18,7,0,3,12,177,3.612244898,3.428571429,,,,,
杨国福麻辣烫,7,15,10,1,3,17,181,3.41509434,3.41509434,,,,,
向之泰麻辣烫,2,1,6,0,2,41,157,3.019230769,3.411764706,,,,,
觅姐麻辣烫,4,9,7,1,2,26,159,3.244897959,3.333333333,,,,,
小蛮椒麻辣烫·麻辣拌,1,1,1,0,0,4,24,3.428571429,3.333333333,,,,,
灵魂烫捞Chef Tanglao,0,0,1,0,0,1,6,3,3.333333333,,,,,
易记麻辣烫,0,1,0,0,0,2,10,3.333333333,3.290909091,,,,,
超级泰泰式麻辣烫,0,0,0,0,2,3,11,2.2,3.244897959,,,,,
郑记三心麻辣烫,0,0,0,0,0,3,9,3,3.181818182,,,,,
蒋记麻辣烫,0,1,1,0,0,4,19,3.166666667,3.166666667,,,,,
玖零后·抚顺麻辣拌,0,0,1,0,0,2,9,3,3.019230769,,,,,
吴记麻辣烫,0,0,0,0,0,3,9,3,3,,,,,
曹记麻辣烫,0,0,0,0,0,2,6,3,3,,,,,
谢记麻辣烫,0,0,1,0,0,2,9,3,3,,,,,
正宗重庆麻辣烫,0,1,1,0,0,1,10,3.333333333,3,,,,,
谢记重庆麻辣烫,0,1,0,0,1,3,14,2.8,3,,,,,
经典拉面砂锅麻辣烫,0,1,0,0,1,3,14,2.8,3,,,,,
蒋记麻辣烫,0,0,0,0,0,3,9,3,3,,,,,
砂锅麻辣烫,0,0,0,0,0,3,9,3,3,,,,,
老重庆麻辣烫,0,0,1,0,0,3,12,3,3,,,,,
重庆特色麻辣烫,0,0,0,0,0,1,3,3,3,,,,,
赵记麻辣捞烫,0,0,0,0,0,1,3,3,3,,,,,
重庆妹儿麻辣烫,1,1,1,0,0,2,18,3.6,3,,,,,
重庆周氏麻辣烫,0,0,0,0,0,4,12,3,3,,,,,
祖船麻辣烫,0,0,0,0,0,0,0,,3,,,,,
静安小亭麻辣烫,0,0,0,0,0,5,15,3,3,,,,,
小天鹅砂锅麻辣烫,1,0,0,0,0,3,14,3.5,3,,,,,
比辛麻辣烫,0,0,1,0,0,2,9,3,3,,,,,
花与麻辣烫,0,0,1,0,0,2,9,3,3,,,,,
裕煮麻辣烫,0,0,0,0,0,3,9,3,3,,,,,
川香麻辣烫,0,0,1,0,0,1,6,3,3,,,,,
重庆蒋记麻辣烫,0,0,1,0,0,5,18,3,3,,,,,
天香麻辣烫,0,0,2,0,0,5,21,3,3,,,,,
吉阿婆麻辣烫,0,0,0,0,0,1,3,3,3,,,,,
蒋记麻辣烫,0,1,0,0,0,2,10,3.333333333,3,,,,,
银星麻辣烫,0,0,1,0,0,1,6,3,3,,,HOTPOT,FINE DINE,COFFEE
幸福煮艺麻辣烫,0,0,0,0,0,4,12,3,3,,ATTR,3.490909091,3.654545455,3.563636364
泾川麻辣烫,0,0,0,0,0,4,12,3,3,,TOP 10/50,3.440036604,3.69473141,3.712318963
不二烫捞麻辣烫,0,0,0,0,0,0,0,,3,,AVG,3.090489707,3.202095761,3.172822105
辣么疯狂,0,0,0,0,0,1,3,3,3,,,,,
煮田麻辣烫,0,0,0,0,0,2,6,3,2.8,,,,,
蒋记捞坊,0,0,1,0,0,3,12,3,2.8,,,,,
陈老伍麻辣烫,0,0,0,0,0,2,6,3,2.2,,,,,
爱情麻辣烫,0,0,1,0,0,2,9,3,,,,,,
马金龙麻辣烫,0,0,0,0,0,1,3,3,,,,,,
对于麻辣烫品类总体，您的评价是,5,24,17,3,2,4,192,3.490909091,ATTR,,,,,
有效填写量,55,,,,,,,3.090489707,AVG,,,,,
,,,,,,,,3.363534415,TOP(>3),,,,,
第3页,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2. 请填写您对西餐品类以及各西餐厅的喜爱程度,,,,,,,,,,,,,,
问题,5 非常喜欢,4 喜欢,3 一般,2 不太喜欢,1 不喜欢,没吃过,,,,,,,,
二餐西餐,1,11,25,6,4,8,164,2.981818182,4.5,,,,,
吉姆丽德,8,22,15,3,1,6,198,3.6,4,,,,,
甜魔（机动学院）,2,16,9,3,2,23,178,3.236363636,3.75,,,,,
七餐（玻璃房）,2,15,14,1,3,20,177,3.218181818,3.68,,,,,
萨莉亚,7,21,13,1,0,8,184,3.68,3.666666667,,,,,
沃格斯（wagas）,5,9,7,0,0,32,178,3.358490566,3.6,,,,,
蓝蛙,6,10,8,0,1,26,173,3.392156863,3.5,,,,,
Ultraviolet by Paul Pairet,3,2,4,1,0,40,157,3.14,3.5,,,,,
Solo,4,4,3,0,0,33,144,3.272727273,3.392156863,,,,,
Macarena 玛卡莲娜西班牙餐厅,0,0,0,0,0,1,3,3,3.358490566,,,,,
Reve Kitchen创意法式料理,0,0,0,0,0,3,9,3,3.333333333,,,,,
南岸时光,0,0,0,0,0,1,3,3,3.333333333,,,,,
GREEN & SAFE(新天地店),0,2,0,0,0,0,8,4,3.333333333,,,,,
Kathleen&#39;s Waitan K外滩西餐厅,0,0,3,0,0,0,9,3,3.272727273,,,,,
AL BORGO,1,0,0,0,0,2,11,3.666666667,3.25,,,,,
德大西餐社,0,1,0,0,0,2,10,3.333333333,3.25,,,,,
夏朵花园,0,0,0,0,0,0,0,,3.236363636,,,,,
GREEN & SAFE,0,1,0,0,0,3,13,3.25,3.218181818,,,,,
Tomacado花厨,0,0,0,0,0,3,9,3,3.14,,,,,
DATING达庭西餐厅,0,0,0,0,0,0,0,,3,,,,,
Jstone.Italian Kitchen &Bar,0,0,0,0,0,2,6,3,3,,,,,
SPACELAB 失重餐厅,0,0,0,0,0,4,12,3,3,,,,,
王品牛排,0,1,0,0,0,2,10,3.333333333,3,,,,,
罗福索love&salt牛排馆,0,0,0,0,0,1,3,3,3,,,,,
小红楼La Villa Rouge,0,0,0,0,0,1,3,3,3,,,,,
C&R西班牙餐厅,0,0,0,0,0,2,6,3,3,,,,,
J Prime牛排海鲜餐厅,0,0,1,0,0,0,3,3,3,,,,,
Wolfgang’s Steakhouse 沃夫冈牛排馆,0,0,0,0,0,1,3,3,3,,,,,
